fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-08-07 11:28:27,2025-08-06T19:44:00+08:00,2025-08-06T19:46:02+08:00,1.0602,103.3172,C,Cloud to Cloud,2025-08-06T19:43:31.295+08:00
2025-08-07 11:28:27,2025-08-06T19:40:00+08:00,2025-08-06T19:42:03+08:00,1.3912,103.3603,C,Cloud to Cloud,2025-08-06T19:38:25.469+08:00
2025-08-07 11:28:27,2025-08-06T19:20:00+08:00,2025-08-06T19:22:02+08:00,1.6147,103.7575,C,Cloud to Cloud,2025-08-06T19:18:55.415+08:00
2025-08-07 11:28:27,2025-08-06T19:10:00+08:00,2025-08-06T19:12:02+08:00,1.0717,103.4405,C,Cloud to Cloud,2025-08-06T19:09:39.199+08:00
2025-08-07 11:28:27,2025-08-06T19:10:00+08:00,2025-08-06T19:12:02+08:00,1.0597,103.4206,C,Cloud to Cloud,2025-08-06T19:09:39.199+08:00
2025-08-07 11:28:27,2025-08-06T19:10:00+08:00,2025-08-06T19:12:02+08:00,1.031,103.2766,C,Cloud to Cloud,2025-08-06T19:09:51.617+08:00
2025-08-07 11:28:27,2025-08-06T19:10:00+08:00,2025-08-06T19:12:02+08:00,1.0297,103.2556,C,Cloud to Cloud,2025-08-06T19:09:51.618+08:00
2025-08-07 11:28:27,2025-08-06T19:02:00+08:00,2025-08-06T19:04:03+08:00,1.056,103.4009,C,Cloud to Cloud,2025-08-06T19:01:05.461+08:00
2025-08-07 11:28:27,2025-08-06T19:00:00+08:00,2025-08-06T19:02:03+08:00,1.0556,103.3933,C,Cloud to Cloud,2025-08-06T18:59:55.416+08:00
2025-08-07 11:28:27,2025-08-06T18:58:00+08:00,2025-08-06T19:00:02+08:00,1.094,103.473,C,Cloud to Cloud,2025-08-06T18:57:04.048+08:00
2025-08-07 11:28:27,2025-08-06T18:56:00+08:00,2025-08-06T18:58:02+08:00,1.0822,103.4635,C,Cloud to Cloud,2025-08-06T18:55:44.637+08:00
2025-08-07 11:28:27,2025-08-06T18:50:00+08:00,2025-08-06T18:52:03+08:00,1.0694,103.4311,C,Cloud to Cloud,2025-08-06T18:48:35.268+08:00
2025-08-07 11:28:27,2025-08-06T18:50:00+08:00,2025-08-06T18:52:03+08:00,1.0522,103.4019,C,Cloud to Cloud,2025-08-06T18:48:35.268+08:00
2025-08-07 11:28:27,2025-08-06T18:50:00+08:00,2025-08-06T18:52:03+08:00,1.0594,103.4356,C,Cloud to Cloud,2025-08-06T18:48:55.486+08:00
