fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2026-01-24 11:19:27,2026-01-23T07:42:00+08:00,2026-01-23T07:44:03+08:00,1.1529,103.8735,C,Cloud to Cloud,2026-01-23T07:40:42.188+08:00
2026-01-24 11:19:27,2026-01-23T07:42:00+08:00,2026-01-23T07:44:03+08:00,1.1414,103.864,C,Cloud to Cloud,2026-01-23T07:40:43.177+08:00
2026-01-24 11:19:27,2026-01-23T07:42:00+08:00,2026-01-23T07:44:03+08:00,1.1554,103.8676,C,Cloud to Cloud,2026-01-23T07:40:51.822+08:00
