fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2026-07-06 14:16:50,2026-07-05T23:54:00+08:00,2026-07-05T23:56:02+08:00,1.124,103.2524,G,Cloud to Ground,2026-07-05T23:52:18.996+08:00
2026-07-06 14:16:50,2026-07-05T23:54:00+08:00,2026-07-05T23:56:02+08:00,1.1362,103.2761,G,Cloud to Ground,2026-07-05T23:52:19.058+08:00
2026-07-06 14:16:50,2026-07-05T23:54:00+08:00,2026-07-05T23:56:02+08:00,1.1386,103.2865,G,Cloud to Ground,2026-07-05T23:52:19.371+08:00
2026-07-06 14:16:50,2026-07-05T23:54:00+08:00,2026-07-05T23:56:02+08:00,1.1713,103.2629,G,Cloud to Ground,2026-07-05T23:53:14.681+08:00
2026-07-06 14:16:50,2026-07-05T23:54:00+08:00,2026-07-05T23:56:02+08:00,1.1789,103.2713,G,Cloud to Ground,2026-07-05T23:53:14.81+08:00
2026-07-06 14:16:50,2026-07-05T23:54:00+08:00,2026-07-05T23:56:02+08:00,1.1698,103.2606,G,Cloud to Ground,2026-07-05T23:53:14.955+08:00
2026-07-06 14:16:50,2026-07-05T23:50:00+08:00,2026-07-05T23:52:02+08:00,1.1552,103.273,G,Cloud to Ground,2026-07-05T23:48:37.759+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1881,103.2569,G,Cloud to Ground,2026-07-05T23:46:07.544+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1945,103.2716,G,Cloud to Ground,2026-07-05T23:46:07.759+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.2051,104.1967,G,Cloud to Ground,2026-07-05T23:47:27.07+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1365,103.2567,G,Cloud to Ground,2026-07-05T23:47:27.623+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1679,103.2569,G,Cloud to Ground,2026-07-05T23:47:59.453+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1649,103.2501,G,Cloud to Ground,2026-07-05T23:47:59.501+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1663,103.26,G,Cloud to Ground,2026-07-05T23:47:59.536+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1943,103.3083,G,Cloud to Ground,2026-07-05T23:47:59.613+08:00
2026-07-06 14:16:50,2026-07-05T23:48:00+08:00,2026-07-05T23:50:03+08:00,1.1709,103.2764,G,Cloud to Ground,2026-07-05T23:47:59.689+08:00
2026-07-06 14:16:50,2026-07-05T23:46:00+08:00,2026-07-05T23:48:02+08:00,1.1385,103.2558,G,Cloud to Ground,2026-07-05T23:44:20.11+08:00
2026-07-06 14:16:50,2026-07-05T23:46:00+08:00,2026-07-05T23:48:02+08:00,1.1401,103.2551,G,Cloud to Ground,2026-07-05T23:45:25.402+08:00
2026-07-06 14:16:50,2026-07-05T23:44:00+08:00,2026-07-05T23:46:02+08:00,1.1664,103.3125,G,Cloud to Ground,2026-07-05T23:42:56.936+08:00
2026-07-06 14:16:50,2026-07-05T23:42:00+08:00,2026-07-05T23:44:03+08:00,1.1375,103.2622,G,Cloud to Ground,2026-07-05T23:41:24.465+08:00
2026-07-06 14:16:50,2026-07-05T23:42:00+08:00,2026-07-05T23:44:03+08:00,1.1414,103.2772,G,Cloud to Ground,2026-07-05T23:41:24.517+08:00
2026-07-06 14:16:50,2026-07-05T23:40:00+08:00,2026-07-05T23:42:02+08:00,1.1926,103.3746,G,Cloud to Ground,2026-07-05T23:38:29.4+08:00
2026-07-06 14:16:50,2026-07-05T23:38:00+08:00,2026-07-05T23:40:03+08:00,1.2398,104.4839,G,Cloud to Ground,2026-07-05T23:36:07.297+08:00
2026-07-06 14:16:50,2026-07-05T23:38:00+08:00,2026-07-05T23:40:03+08:00,1.1007,103.2665,G,Cloud to Ground,2026-07-05T23:37:36.141+08:00
2026-07-06 14:16:50,2026-07-05T23:38:00+08:00,2026-07-05T23:40:03+08:00,1.167,104.4965,G,Cloud to Ground,2026-07-05T23:37:56.999+08:00
2026-07-06 14:16:50,2026-07-05T23:34:00+08:00,2026-07-05T23:36:02+08:00,1.2306,104.4849,G,Cloud to Ground,2026-07-05T23:33:48.117+08:00
2026-07-06 14:16:50,2026-07-05T23:34:00+08:00,2026-07-05T23:36:02+08:00,1.2286,104.4827,G,Cloud to Ground,2026-07-05T23:33:48.171+08:00
2026-07-06 14:16:50,2026-07-05T23:32:00+08:00,2026-07-05T23:34:02+08:00,1.1736,104.4833,G,Cloud to Ground,2026-07-05T23:30:13.24+08:00
2026-07-06 14:16:50,2026-07-05T23:32:00+08:00,2026-07-05T23:34:02+08:00,1.1055,103.3091,G,Cloud to Ground,2026-07-05T23:30:22.967+08:00
2026-07-06 14:16:50,2026-07-05T23:32:00+08:00,2026-07-05T23:34:02+08:00,1.2262,104.4785,G,Cloud to Ground,2026-07-05T23:31:20.991+08:00
2026-07-06 14:16:50,2026-07-05T23:32:00+08:00,2026-07-05T23:34:02+08:00,1.2371,104.4124,G,Cloud to Ground,2026-07-05T23:31:21.126+08:00
2026-07-06 14:16:50,2026-07-05T23:30:00+08:00,2026-07-05T23:32:02+08:00,1.2242,104.4441,G,Cloud to Ground,2026-07-05T23:28:23.003+08:00
2026-07-06 14:16:50,2026-07-05T23:30:00+08:00,2026-07-05T23:32:02+08:00,1.2164,104.4507,G,Cloud to Ground,2026-07-05T23:28:23.043+08:00
2026-07-06 14:16:50,2026-07-05T23:30:00+08:00,2026-07-05T23:32:02+08:00,1.0868,103.2771,G,Cloud to Ground,2026-07-05T23:28:51.807+08:00
2026-07-06 14:16:50,2026-07-05T23:30:00+08:00,2026-07-05T23:32:02+08:00,1.092,103.2653,G,Cloud to Ground,2026-07-05T23:28:51.866+08:00
2026-07-06 14:16:50,2026-07-05T23:30:00+08:00,2026-07-05T23:32:02+08:00,1.2227,104.4622,G,Cloud to Ground,2026-07-05T23:29:37.766+08:00
2026-07-06 14:16:50,2026-07-05T23:30:00+08:00,2026-07-05T23:32:02+08:00,1.2407,104.4719,G,Cloud to Ground,2026-07-05T23:29:37.846+08:00
2026-07-06 14:16:50,2026-07-05T23:28:00+08:00,2026-07-05T23:30:03+08:00,1.1646,103.304,G,Cloud to Ground,2026-07-05T23:27:44.003+08:00
2026-07-06 14:16:50,2026-07-05T23:26:00+08:00,2026-07-05T23:28:03+08:00,1.1031,103.3226,C,Cloud to Cloud,2026-07-05T23:24:26.878+08:00
2026-07-06 14:16:50,2026-07-05T23:26:00+08:00,2026-07-05T23:28:03+08:00,1.1094,103.3296,C,Cloud to Cloud,2026-07-05T23:24:26.949+08:00
2026-07-06 14:16:50,2026-07-05T23:26:00+08:00,2026-07-05T23:28:03+08:00,1.2221,104.445,G,Cloud to Ground,2026-07-05T23:25:04.929+08:00
2026-07-06 14:16:50,2026-07-05T23:26:00+08:00,2026-07-05T23:28:03+08:00,1.2158,104.495,G,Cloud to Ground,2026-07-05T23:25:04.989+08:00
2026-07-06 14:16:50,2026-07-05T23:26:00+08:00,2026-07-05T23:28:03+08:00,1.2219,104.4519,G,Cloud to Ground,2026-07-05T23:25:05.038+08:00
2026-07-06 14:16:50,2026-07-05T23:24:00+08:00,2026-07-05T23:26:02+08:00,1.0942,103.2904,G,Cloud to Ground,2026-07-05T23:23:13.468+08:00
2026-07-06 14:16:50,2026-07-05T23:22:00+08:00,2026-07-05T23:24:03+08:00,1.2185,104.4753,G,Cloud to Ground,2026-07-05T23:20:02.998+08:00
2026-07-06 14:16:50,2026-07-05T23:22:00+08:00,2026-07-05T23:24:03+08:00,1.2387,104.3804,C,Cloud to Cloud,2026-07-05T23:20:03.068+08:00
2026-07-06 14:16:50,2026-07-05T23:22:00+08:00,2026-07-05T23:24:03+08:00,1.214,104.4782,G,Cloud to Ground,2026-07-05T23:21:43.892+08:00
2026-07-06 14:16:50,2026-07-05T23:20:00+08:00,2026-07-05T23:22:02+08:00,1.07,103.2684,G,Cloud to Ground,2026-07-05T23:18:26.584+08:00
2026-07-06 14:16:50,2026-07-05T23:20:00+08:00,2026-07-05T23:22:02+08:00,1.0716,103.2791,G,Cloud to Ground,2026-07-05T23:18:26.643+08:00
2026-07-06 14:16:50,2026-07-05T23:20:00+08:00,2026-07-05T23:22:02+08:00,1.0744,103.269,G,Cloud to Ground,2026-07-05T23:18:26.698+08:00
2026-07-06 14:16:50,2026-07-05T23:20:00+08:00,2026-07-05T23:22:02+08:00,1.0896,103.2955,G,Cloud to Ground,2026-07-05T23:18:26.737+08:00
