fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-09-28 11:01:55,2025-09-27T23:18:00+08:00,2025-09-27T23:20:02+08:00,1.3802,104.3798,C,Cloud to Cloud,2025-09-27T23:16:11.928+08:00
2025-09-28 11:01:55,2025-09-27T23:18:00+08:00,2025-09-27T23:20:02+08:00,1.3796,104.3731,C,Cloud to Cloud,2025-09-27T23:16:11.928+08:00
2025-09-28 11:01:55,2025-09-27T23:18:00+08:00,2025-09-27T23:20:02+08:00,1.374,104.3542,C,Cloud to Cloud,2025-09-27T23:16:11.928+08:00
2025-09-28 11:01:55,2025-09-27T23:18:00+08:00,2025-09-27T23:20:02+08:00,1.3856,104.3299,C,Cloud to Cloud,2025-09-27T23:16:11.94+08:00
2025-09-28 11:01:55,2025-09-27T23:18:00+08:00,2025-09-27T23:20:02+08:00,1.3706,104.3476,C,Cloud to Cloud,2025-09-27T23:16:51.868+08:00
2025-09-28 11:01:55,2025-09-27T23:12:00+08:00,2025-09-27T23:14:03+08:00,1.3626,104.3324,C,Cloud to Cloud,2025-09-27T23:11:52.473+08:00
2025-09-28 11:01:55,2025-09-27T23:10:00+08:00,2025-09-27T23:12:03+08:00,1.3673,104.2798,C,Cloud to Cloud,2025-09-27T23:09:22.835+08:00
2025-09-28 11:01:55,2025-09-27T23:10:00+08:00,2025-09-27T23:12:03+08:00,1.3715,104.3388,C,Cloud to Cloud,2025-09-27T23:09:22.871+08:00
2025-09-28 11:01:55,2025-09-27T23:10:00+08:00,2025-09-27T23:12:03+08:00,1.3681,104.313,C,Cloud to Cloud,2025-09-27T23:09:22.872+08:00
2025-09-28 11:01:55,2025-09-27T23:10:00+08:00,2025-09-27T23:12:03+08:00,1.3784,104.3371,C,Cloud to Cloud,2025-09-27T23:09:22.872+08:00
2025-09-28 11:01:55,2025-09-27T23:10:00+08:00,2025-09-27T23:12:03+08:00,1.3855,104.3637,C,Cloud to Cloud,2025-09-27T23:09:22.872+08:00
