fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2026-06-11 14:38:26,2026-06-10T23:54:00+08:00,2026-06-10T23:56:02+08:00,1.3624,103.8309,C,Cloud to Cloud,2026-06-10T23:53:32.532+08:00
2026-06-11 14:38:27,2026-06-10T21:56:00+08:00,2026-06-10T21:58:03+08:00,1.263,103.3604,C,Cloud to Cloud,2026-06-10T21:55:20.407+08:00
2026-06-11 14:38:27,2026-06-10T21:56:00+08:00,2026-06-10T21:58:03+08:00,1.26,103.3553,C,Cloud to Cloud,2026-06-10T21:55:20.407+08:00
2026-06-11 14:38:27,2026-06-10T21:52:00+08:00,2026-06-10T21:54:03+08:00,1.3479,103.2809,C,Cloud to Cloud,2026-06-10T21:51:57.65+08:00
2026-06-11 14:38:27,2026-06-10T21:50:00+08:00,2026-06-10T21:52:03+08:00,1.3437,103.2807,C,Cloud to Cloud,2026-06-10T21:48:17.838+08:00
2026-06-11 14:38:27,2026-06-10T21:50:00+08:00,2026-06-10T21:52:03+08:00,1.3549,103.302,C,Cloud to Cloud,2026-06-10T21:49:52.709+08:00
2026-06-11 14:38:27,2026-06-10T21:50:00+08:00,2026-06-10T21:52:03+08:00,1.3658,103.2663,C,Cloud to Cloud,2026-06-10T21:49:52.733+08:00
2026-06-11 14:38:27,2026-06-10T21:50:00+08:00,2026-06-10T21:52:03+08:00,1.3506,103.299,C,Cloud to Cloud,2026-06-10T21:49:53.03+08:00
2026-06-11 14:38:27,2026-06-10T21:50:00+08:00,2026-06-10T21:52:03+08:00,1.2749,103.3924,C,Cloud to Cloud,2026-06-10T21:49:53.069+08:00
2026-06-11 14:38:27,2026-06-10T21:48:00+08:00,2026-06-10T21:50:03+08:00,1.3398,103.2718,G,Cloud to Ground,2026-06-10T21:46:04.793+08:00
2026-06-11 14:38:27,2026-06-10T21:48:00+08:00,2026-06-10T21:50:03+08:00,1.3401,103.2644,G,Cloud to Ground,2026-06-10T21:46:08.869+08:00
2026-06-11 14:38:27,2026-06-10T21:44:00+08:00,2026-06-10T21:46:02+08:00,1.3211,103.2699,G,Cloud to Ground,2026-06-10T21:42:38.242+08:00
2026-06-11 14:38:27,2026-06-10T21:42:00+08:00,2026-06-10T21:44:02+08:00,1.3226,103.2592,G,Cloud to Ground,2026-06-10T21:40:55.59+08:00
2026-06-11 14:38:27,2026-06-10T21:42:00+08:00,2026-06-10T21:44:02+08:00,1.2909,103.2548,C,Cloud to Cloud,2026-06-10T21:40:56.51+08:00
2026-06-11 14:38:27,2026-06-10T21:42:00+08:00,2026-06-10T21:44:02+08:00,1.2699,103.2719,C,Cloud to Cloud,2026-06-10T21:40:56.641+08:00
2026-06-11 14:38:27,2026-06-10T21:42:00+08:00,2026-06-10T21:44:02+08:00,1.3231,103.2898,C,Cloud to Cloud,2026-06-10T21:41:07.589+08:00
2026-06-11 14:38:27,2026-06-10T21:42:00+08:00,2026-06-10T21:44:02+08:00,1.3514,103.2658,G,Cloud to Ground,2026-06-10T21:41:45.906+08:00
2026-06-11 14:38:27,2026-06-10T21:40:00+08:00,2026-06-10T21:42:02+08:00,1.2647,103.433,C,Cloud to Cloud,2026-06-10T21:39:18.01+08:00
2026-06-11 14:38:27,2026-06-10T21:40:00+08:00,2026-06-10T21:42:02+08:00,1.2818,103.2665,C,Cloud to Cloud,2026-06-10T21:39:18.011+08:00
2026-06-11 14:38:27,2026-06-10T21:40:00+08:00,2026-06-10T21:42:02+08:00,1.2641,103.4222,C,Cloud to Cloud,2026-06-10T21:39:18.424+08:00
2026-06-11 14:38:27,2026-06-10T21:40:00+08:00,2026-06-10T21:42:02+08:00,1.2968,103.2565,C,Cloud to Cloud,2026-06-10T21:39:18.873+08:00
2026-06-11 14:38:27,2026-06-10T21:40:00+08:00,2026-06-10T21:42:02+08:00,1.2955,103.264,C,Cloud to Cloud,2026-06-10T21:39:18.882+08:00
2026-06-11 14:38:27,2026-06-10T21:40:00+08:00,2026-06-10T21:42:02+08:00,1.3782,103.2581,C,Cloud to Cloud,2026-06-10T21:39:37.05+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2761,103.293,C,Cloud to Cloud,2026-06-10T21:36:45.665+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2668,103.379,C,Cloud to Cloud,2026-06-10T21:36:45.692+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2636,103.3891,C,Cloud to Cloud,2026-06-10T21:36:45.692+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2673,103.2957,C,Cloud to Cloud,2026-06-10T21:36:46.112+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.263,103.2945,C,Cloud to Cloud,2026-06-10T21:36:46.112+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2487,103.3689,C,Cloud to Cloud,2026-06-10T21:36:46.112+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2515,103.4028,C,Cloud to Cloud,2026-06-10T21:36:46.113+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2656,103.2858,C,Cloud to Cloud,2026-06-10T21:36:46.159+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2635,103.2539,C,Cloud to Cloud,2026-06-10T21:36:46.159+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2664,103.3961,C,Cloud to Cloud,2026-06-10T21:37:30.752+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2617,103.4013,C,Cloud to Cloud,2026-06-10T21:37:30.753+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.261,103.3964,C,Cloud to Cloud,2026-06-10T21:37:30.753+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.2788,103.2768,C,Cloud to Cloud,2026-06-10T21:37:30.753+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.268,103.3893,C,Cloud to Cloud,2026-06-10T21:37:30.85+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.3407,103.2641,G,Cloud to Ground,2026-06-10T21:37:31.168+08:00
2026-06-11 14:38:27,2026-06-10T21:38:00+08:00,2026-06-10T21:40:03+08:00,1.3381,103.2818,G,Cloud to Ground,2026-06-10T21:37:31.333+08:00
2026-06-11 14:38:27,2026-06-10T21:36:00+08:00,2026-06-10T21:38:03+08:00,1.2674,103.3937,C,Cloud to Cloud,2026-06-10T21:34:14.466+08:00
2026-06-11 14:38:27,2026-06-10T21:36:00+08:00,2026-06-10T21:38:03+08:00,1.2656,103.3747,C,Cloud to Cloud,2026-06-10T21:35:36.695+08:00
2026-06-11 14:38:27,2026-06-10T21:36:00+08:00,2026-06-10T21:38:03+08:00,1.2704,103.2691,C,Cloud to Cloud,2026-06-10T21:35:36.873+08:00
2026-06-11 14:38:27,2026-06-10T21:34:00+08:00,2026-06-10T21:36:02+08:00,1.2975,103.2901,G,Cloud to Ground,2026-06-10T21:33:05.051+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.261,103.3785,C,Cloud to Cloud,2026-06-10T21:28:31.265+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.2892,103.3685,C,Cloud to Cloud,2026-06-10T21:28:31.284+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.3108,103.2643,C,Cloud to Cloud,2026-06-10T21:29:38.105+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.3053,103.2726,C,Cloud to Cloud,2026-06-10T21:29:38.105+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.2897,103.286,C,Cloud to Cloud,2026-06-10T21:29:38.105+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.2755,103.2503,C,Cloud to Cloud,2026-06-10T21:29:38.106+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.3183,103.2687,C,Cloud to Cloud,2026-06-10T21:29:38.302+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.3128,103.2658,G,Cloud to Ground,2026-06-10T21:29:38.303+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.3074,103.2547,G,Cloud to Ground,2026-06-10T21:29:38.352+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.2606,103.2648,G,Cloud to Ground,2026-06-10T21:29:38.616+08:00
2026-06-11 14:38:27,2026-06-10T21:30:00+08:00,2026-06-10T21:32:02+08:00,1.2551,103.2825,G,Cloud to Ground,2026-06-10T21:29:39.191+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2775,103.2523,C,Cloud to Cloud,2026-06-10T21:26:16.452+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2353,103.2579,C,Cloud to Cloud,2026-06-10T21:26:28.083+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2698,103.3631,C,Cloud to Cloud,2026-06-10T21:27:10.584+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2582,103.2922,G,Cloud to Ground,2026-06-10T21:27:31.361+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2626,103.3011,C,Cloud to Cloud,2026-06-10T21:27:31.361+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2665,103.2994,G,Cloud to Ground,2026-06-10T21:27:31.505+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2932,103.2806,C,Cloud to Cloud,2026-06-10T21:27:31.553+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2668,103.3023,G,Cloud to Ground,2026-06-10T21:27:31.553+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2696,103.3115,G,Cloud to Ground,2026-06-10T21:27:31.61+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2716,103.258,C,Cloud to Cloud,2026-06-10T21:27:31.763+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2694,103.2963,G,Cloud to Ground,2026-06-10T21:27:31.763+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2653,103.2594,C,Cloud to Cloud,2026-06-10T21:27:31.827+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.266,103.3111,G,Cloud to Ground,2026-06-10T21:27:31.828+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2714,103.2566,C,Cloud to Cloud,2026-06-10T21:27:31.975+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2678,103.3011,G,Cloud to Ground,2026-06-10T21:27:31.976+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.264,103.2617,C,Cloud to Cloud,2026-06-10T21:27:32.052+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2656,103.3058,G,Cloud to Ground,2026-06-10T21:27:32.053+08:00
2026-06-11 14:38:27,2026-06-10T21:28:00+08:00,2026-06-10T21:30:03+08:00,1.2289,103.3049,G,Cloud to Ground,2026-06-10T21:27:32.51+08:00
2026-06-11 14:38:27,2026-06-10T21:26:00+08:00,2026-06-10T21:28:03+08:00,1.2562,103.2988,C,Cloud to Cloud,2026-06-10T21:24:42.001+08:00
2026-06-11 14:38:27,2026-06-10T21:26:00+08:00,2026-06-10T21:28:03+08:00,1.2557,103.253,C,Cloud to Cloud,2026-06-10T21:24:42.119+08:00
2026-06-11 14:38:27,2026-06-10T21:26:00+08:00,2026-06-10T21:28:03+08:00,1.2507,103.2854,C,Cloud to Cloud,2026-06-10T21:24:42.12+08:00
2026-06-11 14:38:27,2026-06-10T21:26:00+08:00,2026-06-10T21:28:03+08:00,1.2542,103.286,C,Cloud to Cloud,2026-06-10T21:25:10.762+08:00
