fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-05-03 10:58:25,2025-05-02T21:40:00+08:00,2025-05-02T21:42:03+08:00,1.6298,103.6558,C,Cloud to Cloud,2025-05-02T21:38:11.783+08:00
2025-05-03 10:58:25,2025-05-02T21:38:00+08:00,2025-05-02T21:40:04+08:00,1.5942,103.6765,C,Cloud to Cloud,2025-05-02T21:37:54.252+08:00
2025-05-03 10:58:26,2025-05-02T21:20:00+08:00,2025-05-02T21:22:02+08:00,1.6292,104.2349,C,Cloud to Cloud,2025-05-02T21:18:16.468+08:00
2025-05-03 10:58:26,2025-05-02T21:20:00+08:00,2025-05-02T21:22:02+08:00,1.628,104.2336,C,Cloud to Cloud,2025-05-02T21:18:16.468+08:00
2025-05-03 10:58:26,2025-05-02T21:20:00+08:00,2025-05-02T21:22:02+08:00,1.5905,104.2258,C,Cloud to Cloud,2025-05-02T21:18:16.709+08:00
2025-05-03 10:58:26,2025-05-02T21:20:00+08:00,2025-05-02T21:22:02+08:00,1.5982,104.226,C,Cloud to Cloud,2025-05-02T21:18:16.709+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.5858,104.1756,C,Cloud to Cloud,2025-05-02T21:16:13.976+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.5658,104.1159,C,Cloud to Cloud,2025-05-02T21:16:13.977+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.568,104.1471,C,Cloud to Cloud,2025-05-02T21:16:13.977+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.6361,104.2139,C,Cloud to Cloud,2025-05-02T21:16:14.128+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.6202,104.1937,C,Cloud to Cloud,2025-05-02T21:16:14.275+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.5875,104.1445,C,Cloud to Cloud,2025-05-02T21:16:14.275+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.5989,104.1829,C,Cloud to Cloud,2025-05-02T21:16:14.275+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.6291,104.2154,C,Cloud to Cloud,2025-05-02T21:16:14.275+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.626,104.2244,C,Cloud to Cloud,2025-05-02T21:16:14.276+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.6057,104.1973,C,Cloud to Cloud,2025-05-02T21:16:14.276+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.6345,104.2086,C,Cloud to Cloud,2025-05-02T21:16:14.374+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.606,104.1565,C,Cloud to Cloud,2025-05-02T21:17:45.003+08:00
2025-05-03 10:58:26,2025-05-02T21:18:00+08:00,2025-05-02T21:20:03+08:00,1.6344,104.211,C,Cloud to Cloud,2025-05-02T21:17:45.004+08:00
2025-05-03 10:58:26,2025-05-02T21:16:00+08:00,2025-05-02T21:18:02+08:00,1.6402,104.2304,C,Cloud to Cloud,2025-05-02T21:14:06.141+08:00
2025-05-03 10:58:26,2025-05-02T21:16:00+08:00,2025-05-02T21:18:02+08:00,1.646,104.2612,C,Cloud to Cloud,2025-05-02T21:14:41.362+08:00
2025-05-03 10:58:26,2025-05-02T21:16:00+08:00,2025-05-02T21:18:02+08:00,1.6343,104.2338,C,Cloud to Cloud,2025-05-02T21:14:41.362+08:00
2025-05-03 10:58:26,2025-05-02T21:16:00+08:00,2025-05-02T21:18:02+08:00,1.6393,104.2765,C,Cloud to Cloud,2025-05-02T21:15:55.987+08:00
2025-05-03 10:58:26,2025-05-02T21:14:00+08:00,2025-05-02T21:16:03+08:00,1.6495,104.3344,C,Cloud to Cloud,2025-05-02T21:12:03.688+08:00
2025-05-03 10:58:26,2025-05-02T21:14:00+08:00,2025-05-02T21:16:03+08:00,1.6395,104.286,C,Cloud to Cloud,2025-05-02T21:12:03.688+08:00
2025-05-03 10:58:26,2025-05-02T21:14:00+08:00,2025-05-02T21:16:03+08:00,1.5759,104.2046,C,Cloud to Cloud,2025-05-02T21:12:03.838+08:00
2025-05-03 10:58:26,2025-05-02T21:14:00+08:00,2025-05-02T21:16:03+08:00,1.5955,104.2349,C,Cloud to Cloud,2025-05-02T21:12:03.839+08:00
2025-05-03 10:58:26,2025-05-02T21:14:00+08:00,2025-05-02T21:16:03+08:00,1.6198,104.2766,C,Cloud to Cloud,2025-05-02T21:12:03.839+08:00
