fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-07-27 11:40:25,2025-07-26T14:46:00+08:00,2025-07-26T14:48:02+08:00,1.2314,104.2825,C,Cloud to Cloud,2025-07-26T14:45:39.232+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4934,104.0912,C,Cloud to Cloud,2025-07-26T14:33:24.767+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4812,104.0652,C,Cloud to Cloud,2025-07-26T14:33:24.767+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4712,104.0715,C,Cloud to Cloud,2025-07-26T14:33:24.767+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4965,104.0879,C,Cloud to Cloud,2025-07-26T14:33:24.767+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4954,104.0871,C,Cloud to Cloud,2025-07-26T14:33:24.767+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4709,104.0674,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4865,104.0849,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4834,104.0657,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4876,104.0777,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4904,104.0797,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4758,104.0716,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
2025-07-27 11:40:25,2025-07-26T14:34:00+08:00,2025-07-26T14:36:02+08:00,1.4827,104.0764,C,Cloud to Cloud,2025-07-26T14:33:24.768+08:00
