fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-12-31 11:19:17,2025-12-30T20:02:00+08:00,2025-12-30T20:04:03+08:00,0.9702,103.4425,C,Cloud to Cloud,2025-12-30T20:00:53.22+08:00
2025-12-31 11:19:17,2025-12-30T19:52:00+08:00,2025-12-30T19:54:03+08:00,1.3879,103.3407,C,Cloud to Cloud,2025-12-30T19:51:27.641+08:00
2025-12-31 11:19:18,2025-12-30T19:14:00+08:00,2025-12-30T19:16:02+08:00,1.0165,103.3563,C,Cloud to Cloud,2025-12-30T19:12:31.362+08:00
2025-12-31 11:19:23,2025-12-30T10:26:00+08:00,2025-12-30T10:28:02+08:00,1.1729,103.8763,C,Cloud to Cloud,2025-12-30T10:24:20.651+08:00
2025-12-31 11:19:23,2025-12-30T10:26:00+08:00,2025-12-30T10:28:02+08:00,1.1671,103.878,C,Cloud to Cloud,2025-12-30T10:24:20.651+08:00
