fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-08-16 11:08:33,2025-08-15T12:40:00+08:00,2025-08-15T12:42:02+08:00,1.1074,104.4777,C,Cloud to Cloud,2025-08-15T12:39:55.907+08:00
2025-08-16 11:08:33,2025-08-15T12:40:00+08:00,2025-08-15T12:42:02+08:00,1.1009,104.4783,C,Cloud to Cloud,2025-08-15T12:39:55.908+08:00
2025-08-16 11:08:33,2025-08-15T12:40:00+08:00,2025-08-15T12:42:02+08:00,1.1068,104.4737,C,Cloud to Cloud,2025-08-15T12:39:55.908+08:00
2025-08-16 11:08:33,2025-08-15T12:40:00+08:00,2025-08-15T12:42:02+08:00,1.1067,104.4987,C,Cloud to Cloud,2025-08-15T12:39:55.908+08:00
2025-08-16 11:08:33,2025-08-15T12:36:00+08:00,2025-08-15T12:38:02+08:00,1.1414,104.3947,C,Cloud to Cloud,2025-08-15T12:34:23.623+08:00
2025-08-16 11:08:33,2025-08-15T12:36:00+08:00,2025-08-15T12:38:02+08:00,1.145,104.4026,C,Cloud to Cloud,2025-08-15T12:34:23.623+08:00
2025-08-16 11:08:33,2025-08-15T12:20:00+08:00,2025-08-15T12:22:02+08:00,1.0843,104.4997,C,Cloud to Cloud,2025-08-15T12:18:34.915+08:00
2025-08-16 11:08:33,2025-08-15T12:20:00+08:00,2025-08-15T12:22:02+08:00,1.1051,104.4913,C,Cloud to Cloud,2025-08-15T12:19:06.479+08:00
2025-08-16 11:08:34,2025-08-15T12:16:00+08:00,2025-08-15T12:18:02+08:00,1.0914,104.4719,C,Cloud to Cloud,2025-08-15T12:14:06.95+08:00
2025-08-16 11:08:34,2025-08-15T12:16:00+08:00,2025-08-15T12:18:02+08:00,1.0913,104.4591,C,Cloud to Cloud,2025-08-15T12:14:07.054+08:00
2025-08-16 11:08:34,2025-08-15T12:14:00+08:00,2025-08-15T12:16:02+08:00,1.0865,104.4937,C,Cloud to Cloud,2025-08-15T12:12:46.406+08:00
2025-08-16 11:08:34,2025-08-15T12:14:00+08:00,2025-08-15T12:16:02+08:00,1.0842,104.4915,C,Cloud to Cloud,2025-08-15T12:12:46.547+08:00
2025-08-16 11:08:34,2025-08-15T12:14:00+08:00,2025-08-15T12:16:02+08:00,1.0842,104.4915,C,Cloud to Cloud,2025-08-15T12:12:46.547+08:00
2025-08-16 11:08:34,2025-08-15T11:48:00+08:00,2025-08-15T11:50:03+08:00,1.0951,104.4742,C,Cloud to Cloud,2025-08-15T11:47:24.215+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1334,104.3806,C,Cloud to Cloud,2025-08-15T11:27:38.632+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1552,104.3492,C,Cloud to Cloud,2025-08-15T11:27:38.737+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1393,104.3712,C,Cloud to Cloud,2025-08-15T11:27:38.737+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1314,104.3915,C,Cloud to Cloud,2025-08-15T11:27:38.737+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1434,104.3772,C,Cloud to Cloud,2025-08-15T11:27:38.787+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.137,104.3765,C,Cloud to Cloud,2025-08-15T11:27:38.787+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1367,104.3779,C,Cloud to Cloud,2025-08-15T11:27:38.788+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1535,104.3501,C,Cloud to Cloud,2025-08-15T11:27:38.853+08:00
2025-08-16 11:08:34,2025-08-15T11:28:00+08:00,2025-08-15T11:30:02+08:00,1.1414,104.3786,C,Cloud to Cloud,2025-08-15T11:27:38.853+08:00
2025-08-16 11:08:34,2025-08-15T11:08:00+08:00,2025-08-15T11:10:04+08:00,0.9767,104.3796,G,Cloud to Ground,2025-08-15T11:06:04.021+08:00
2025-08-16 11:08:34,2025-08-15T11:06:00+08:00,2025-08-15T11:08:03+08:00,1.1309,104.3936,C,Cloud to Cloud,2025-08-15T11:04:40.476+08:00
2025-08-16 11:08:34,2025-08-15T11:06:00+08:00,2025-08-15T11:08:03+08:00,1.1364,104.4261,C,Cloud to Cloud,2025-08-15T11:04:40.523+08:00
2025-08-16 11:08:34,2025-08-15T11:06:00+08:00,2025-08-15T11:08:03+08:00,1.1719,104.4373,C,Cloud to Cloud,2025-08-15T11:04:40.523+08:00
2025-08-16 11:08:34,2025-08-15T11:02:00+08:00,2025-08-15T11:04:02+08:00,0.9512,104.258,C,Cloud to Cloud,2025-08-15T11:01:10.356+08:00
2025-08-16 11:08:34,2025-08-15T11:00:00+08:00,2025-08-15T11:02:02+08:00,1.141,104.3855,C,Cloud to Cloud,2025-08-15T10:59:29.205+08:00
2025-08-16 11:08:34,2025-08-15T11:00:00+08:00,2025-08-15T11:02:02+08:00,0.9698,104.2544,C,Cloud to Cloud,2025-08-15T10:59:37.489+08:00
2025-08-16 11:08:34,2025-08-15T11:00:00+08:00,2025-08-15T11:02:02+08:00,0.9552,104.2758,C,Cloud to Cloud,2025-08-15T10:59:37.517+08:00
2025-08-16 11:08:34,2025-08-15T11:00:00+08:00,2025-08-15T11:02:02+08:00,0.9528,104.2877,C,Cloud to Cloud,2025-08-15T10:59:37.595+08:00
2025-08-16 11:08:34,2025-08-15T10:54:00+08:00,2025-08-15T10:56:03+08:00,0.9539,104.22,C,Cloud to Cloud,2025-08-15T10:53:19.592+08:00
2025-08-16 11:08:34,2025-08-15T10:54:00+08:00,2025-08-15T10:56:03+08:00,0.9565,104.2196,C,Cloud to Cloud,2025-08-15T10:53:19.703+08:00
2025-08-16 11:08:34,2025-08-15T10:52:00+08:00,2025-08-15T10:54:02+08:00,0.9861,104.2401,C,Cloud to Cloud,2025-08-15T10:51:22.324+08:00
2025-08-16 11:08:34,2025-08-15T10:52:00+08:00,2025-08-15T10:54:02+08:00,0.9719,104.2174,C,Cloud to Cloud,2025-08-15T10:51:22.445+08:00
2025-08-16 11:08:34,2025-08-15T10:52:00+08:00,2025-08-15T10:54:02+08:00,0.95,104.2549,C,Cloud to Cloud,2025-08-15T10:51:22.559+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9639,104.254,C,Cloud to Cloud,2025-08-15T10:48:18.027+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9579,104.2534,C,Cloud to Cloud,2025-08-15T10:48:18.039+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9877,104.1463,C,Cloud to Cloud,2025-08-15T10:48:18.204+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9715,104.398,C,Cloud to Cloud,2025-08-15T10:48:18.29+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0025,104.3811,C,Cloud to Cloud,2025-08-15T10:48:18.29+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0299,104.3102,C,Cloud to Cloud,2025-08-15T10:48:18.29+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0471,104.3032,C,Cloud to Cloud,2025-08-15T10:48:18.29+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9706,104.3841,C,Cloud to Cloud,2025-08-15T10:48:18.335+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.999,104.3926,C,Cloud to Cloud,2025-08-15T10:48:18.337+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9729,104.3507,G,Cloud to Ground,2025-08-15T10:48:18.338+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0058,104.3758,C,Cloud to Cloud,2025-08-15T10:48:18.444+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9818,104.3862,C,Cloud to Cloud,2025-08-15T10:48:18.444+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9564,104.3734,G,Cloud to Ground,2025-08-15T10:48:18.444+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9576,104.4014,C,Cloud to Cloud,2025-08-15T10:48:18.447+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0176,104.3468,C,Cloud to Cloud,2025-08-15T10:48:18.476+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9602,104.4078,C,Cloud to Cloud,2025-08-15T10:48:18.48+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0092,104.3209,C,Cloud to Cloud,2025-08-15T10:48:18.48+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0027,104.3376,C,Cloud to Cloud,2025-08-15T10:48:18.48+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0015,104.3456,C,Cloud to Cloud,2025-08-15T10:48:18.481+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9792,104.3987,C,Cloud to Cloud,2025-08-15T10:48:18.481+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,0.9635,104.3759,C,Cloud to Cloud,2025-08-15T10:48:18.503+08:00
2025-08-16 11:08:34,2025-08-15T10:50:00+08:00,2025-08-15T10:52:03+08:00,1.0009,104.3473,C,Cloud to Cloud,2025-08-15T10:48:18.504+08:00
2025-08-16 11:08:34,2025-08-15T10:48:00+08:00,2025-08-15T10:50:03+08:00,0.9626,104.3034,C,Cloud to Cloud,2025-08-15T10:46:16.865+08:00
2025-08-16 11:08:34,2025-08-15T10:48:00+08:00,2025-08-15T10:50:03+08:00,0.9569,104.2077,C,Cloud to Cloud,2025-08-15T10:47:03.525+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9659,104.2329,C,Cloud to Cloud,2025-08-15T10:44:23.486+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9718,104.2217,C,Cloud to Cloud,2025-08-15T10:44:23.486+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9515,104.2493,C,Cloud to Cloud,2025-08-15T10:44:23.51+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.953,104.2819,C,Cloud to Cloud,2025-08-15T10:45:30.719+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9881,104.2326,C,Cloud to Cloud,2025-08-15T10:45:30.719+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9781,104.2675,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9627,104.291,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9693,104.2833,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.984,104.2557,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9773,104.272,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9722,104.2784,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.98,104.2455,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9755,104.2688,C,Cloud to Cloud,2025-08-15T10:45:30.72+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9672,104.2889,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9673,104.2854,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9694,104.2744,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9724,104.2769,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9646,104.2963,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9639,104.292,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.984,104.2719,C,Cloud to Cloud,2025-08-15T10:45:30.721+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.953,104.2939,C,Cloud to Cloud,2025-08-15T10:45:30.728+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9559,104.2808,C,Cloud to Cloud,2025-08-15T10:45:30.729+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9675,104.2587,C,Cloud to Cloud,2025-08-15T10:45:30.729+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9651,104.2674,C,Cloud to Cloud,2025-08-15T10:45:30.729+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9719,104.2556,C,Cloud to Cloud,2025-08-15T10:45:30.73+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9711,104.2549,C,Cloud to Cloud,2025-08-15T10:45:30.73+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9507,104.2912,C,Cloud to Cloud,2025-08-15T10:45:30.73+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9509,104.2835,C,Cloud to Cloud,2025-08-15T10:45:30.731+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9511,104.2789,C,Cloud to Cloud,2025-08-15T10:45:30.731+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9661,104.2628,C,Cloud to Cloud,2025-08-15T10:45:30.732+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9678,104.2553,C,Cloud to Cloud,2025-08-15T10:45:30.732+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9679,104.259,C,Cloud to Cloud,2025-08-15T10:45:30.732+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9608,104.2399,C,Cloud to Cloud,2025-08-15T10:45:30.802+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,1.0123,104.234,C,Cloud to Cloud,2025-08-15T10:45:30.978+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9712,104.2142,C,Cloud to Cloud,2025-08-15T10:45:31.011+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9672,104.2097,C,Cloud to Cloud,2025-08-15T10:45:31.021+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,0.9539,104.2394,C,Cloud to Cloud,2025-08-15T10:45:31.021+08:00
2025-08-16 11:08:34,2025-08-15T10:46:00+08:00,2025-08-15T10:48:02+08:00,1.0118,104.2525,C,Cloud to Cloud,2025-08-15T10:45:31.15+08:00
2025-08-16 11:08:34,2025-08-15T10:44:00+08:00,2025-08-15T10:46:02+08:00,0.9765,104.2075,C,Cloud to Cloud,2025-08-15T10:42:15.392+08:00
2025-08-16 11:08:34,2025-08-15T10:44:00+08:00,2025-08-15T10:46:02+08:00,0.9621,104.2433,C,Cloud to Cloud,2025-08-15T10:42:15.392+08:00
