fetch_time,observation_window,data_updated,latitude,longitude,strike_type,description,strike_time
2025-07-08 11:14:18,2025-07-07T16:44:00+08:00,2025-07-07T16:46:02+08:00,1.6449,103.6942,C,Cloud to Cloud,2025-07-07T16:42:27.701+08:00
2025-07-08 11:14:18,2025-07-07T16:44:00+08:00,2025-07-07T16:46:02+08:00,1.5413,103.7441,C,Cloud to Cloud,2025-07-07T16:42:57.233+08:00
2025-07-08 11:14:18,2025-07-07T16:44:00+08:00,2025-07-07T16:46:02+08:00,1.5601,103.736,C,Cloud to Cloud,2025-07-07T16:42:57.233+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6325,103.8795,C,Cloud to Cloud,2025-07-07T15:10:26.835+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6388,103.8835,C,Cloud to Cloud,2025-07-07T15:10:26.835+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6463,103.8849,C,Cloud to Cloud,2025-07-07T15:10:26.836+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6301,103.8582,C,Cloud to Cloud,2025-07-07T15:10:27.055+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6383,103.7034,C,Cloud to Cloud,2025-07-07T15:11:45.422+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6438,103.7008,C,Cloud to Cloud,2025-07-07T15:11:45.423+08:00
2025-07-08 11:14:19,2025-07-07T15:12:00+08:00,2025-07-07T15:14:02+08:00,1.6496,103.7037,C,Cloud to Cloud,2025-07-07T15:11:45.462+08:00
2025-07-08 11:14:19,2025-07-07T15:06:00+08:00,2025-07-07T15:08:02+08:00,1.6416,103.8405,G,Cloud to Ground,2025-07-07T15:04:02.119+08:00
2025-07-08 11:14:19,2025-07-07T15:02:00+08:00,2025-07-07T15:04:03+08:00,1.5777,103.7938,C,Cloud to Cloud,2025-07-07T15:00:25.904+08:00
2025-07-08 11:14:19,2025-07-07T15:02:00+08:00,2025-07-07T15:04:03+08:00,1.5466,103.8642,C,Cloud to Cloud,2025-07-07T15:01:54.988+08:00
2025-07-08 11:14:19,2025-07-07T15:00:00+08:00,2025-07-07T15:02:03+08:00,1.6465,103.8577,C,Cloud to Cloud,2025-07-07T14:59:38.629+08:00
2025-07-08 11:14:19,2025-07-07T14:58:00+08:00,2025-07-07T15:00:03+08:00,1.6321,103.8304,C,Cloud to Cloud,2025-07-07T14:57:59.062+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6462,103.8607,G,Cloud to Ground,2025-07-07T14:54:01.837+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6492,103.8907,C,Cloud to Cloud,2025-07-07T14:54:19.465+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6461,103.8427,C,Cloud to Cloud,2025-07-07T14:54:45.94+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.628,103.8378,C,Cloud to Cloud,2025-07-07T14:55:14.024+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6496,103.8363,C,Cloud to Cloud,2025-07-07T14:55:14.118+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6458,103.8404,C,Cloud to Cloud,2025-07-07T14:55:14.118+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6197,103.8352,G,Cloud to Ground,2025-07-07T14:55:14.178+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6484,103.8365,C,Cloud to Cloud,2025-07-07T14:55:14.242+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6247,103.8362,C,Cloud to Cloud,2025-07-07T14:55:14.243+08:00
2025-07-08 11:14:19,2025-07-07T14:56:00+08:00,2025-07-07T14:58:02+08:00,1.6369,103.839,G,Cloud to Ground,2025-07-07T14:55:14.322+08:00
2025-07-08 11:14:19,2025-07-07T14:54:00+08:00,2025-07-07T14:56:02+08:00,1.6259,103.875,C,Cloud to Cloud,2025-07-07T14:52:17.892+08:00
2025-07-08 11:14:19,2025-07-07T14:54:00+08:00,2025-07-07T14:56:02+08:00,1.5895,103.8815,C,Cloud to Cloud,2025-07-07T14:52:17.958+08:00
2025-07-08 11:14:19,2025-07-07T14:54:00+08:00,2025-07-07T14:56:02+08:00,1.6481,103.8821,G,Cloud to Ground,2025-07-07T14:52:18.024+08:00
2025-07-08 11:14:19,2025-07-07T14:54:00+08:00,2025-07-07T14:56:02+08:00,1.5939,103.8102,C,Cloud to Cloud,2025-07-07T14:53:08.365+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6223,103.7939,C,Cloud to Cloud,2025-07-07T14:38:10.931+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6499,103.8153,C,Cloud to Cloud,2025-07-07T14:38:10.931+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6031,103.7722,C,Cloud to Cloud,2025-07-07T14:38:10.931+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.615,103.8137,C,Cloud to Cloud,2025-07-07T14:38:10.933+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.5952,103.8514,C,Cloud to Cloud,2025-07-07T14:38:10.94+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6479,103.8104,C,Cloud to Cloud,2025-07-07T14:38:10.94+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6029,103.8256,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6031,103.824,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6123,103.8265,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6112,103.8215,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6088,103.8246,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6098,103.8251,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6073,103.8237,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6037,103.8229,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.5984,103.8224,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
2025-07-08 11:14:19,2025-07-07T14:40:00+08:00,2025-07-07T14:42:02+08:00,1.6025,103.823,C,Cloud to Cloud,2025-07-07T14:38:11.037+08:00
